NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT11
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-01,,,,,0.1,2.0,29.0,38.0,25.0,25.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-02,,,,,0.43,3.0,34.0,27.0,18.0,18.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-03,,,,,0.09,1.0,30.0,27.0,12.0,18.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-04,,,,,0.0,0.0,30.0,31.0,18.0,27.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-05,,,,,0.0,0.0,30.0,34.0,26.0,34.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-06,,,,,0.06,1.0,30.0,42.0,12.0,12.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-07,,,,,0.26,4.0,32.0,21.0,13.0,13.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-08,,,,,0.4,6.0,34.0,20.0,11.0,19.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-09,,,,,1.08,9.0,38.0,28.0,12.0,24.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-10,,,,,3.08,19.0,55.0,30.0,16.0,27.0,,1.0,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-11,,,,,1.89,12.0,62.0,30.0,-5.0,4.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-12,,,,,0.93,7.0,56.0,32.0,4.0,30.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-13,,,,,1.12,6.0,60.0,33.0,31.0,32.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-14,,,,,1.0,4.0,61.0,40.0,26.0,26.0,,1.0,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-15,,,,,2.2,17.0,69.0,28.0,21.0,24.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-16,,,,,0.12,1.0,64.0,35.0,24.0,24.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-17,,,,,0.2,2.0,60.0,32.0,22.0,26.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-18,,,,,0.7,5.0,64.0,30.0,20.0,23.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-19,,,,,0.46,5.0,64.0,29.0,17.0,20.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-20,,,,,0.0,0.0,61.0,31.0,15.0,18.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-21,,,,,0.0,0.0,60.0,34.0,16.0,21.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-22,,,,,0.0,0.0,60.0,37.0,14.0,15.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-23,,,,,0.0,0.0,58.0,42.0,14.0,18.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-24,,,,,0.0,0.0,57.0,43.0,20.0,20.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-25,,,,,0.0,0.0,56.0,33.0,20.0,25.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-26,,,,,0.0,0.0,55.0,25.0,10.0,15.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-27,,,,,0.0,0.0,53.0,24.0,10.0,24.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-28,,,,,0.82,12.0,60.0,24.0,5.0,7.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-29,,,,,0.43,8.0,66.0,22.0,7.0,22.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-30,,,,,1.33,20.0,81.0,24.0,-6.0,-6.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-01-31,,,,,0.0,0.0,77.0,32.0,-6.0,16.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-01,,,,,0.0,0.0,70.0,37.0,16.0,23.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-02,,,,,0.0,0.0,70.0,38.0,19.0,22.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-03,,,,,0.0,0.0,70.0,37.0,24.0,29.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-04,,,,,0.18,1.0,71.0,41.0,26.0,26.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-05,,,,,0.0,0.0,70.0,33.0,15.0,22.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-06,,,,,0.0,0.0,69.0,42.0,22.0,28.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-07,,,,,0.84,9.0,78.0,29.0,16.0,19.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-08,,,,,0.0,0.0,74.0,28.0,8.0,10.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-09,,,,,0.0,0.0,73.0,28.0,8.0,15.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-10,,,,,0.0,0.0,72.0,38.0,14.0,16.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-11,,,,,0.0,0.0,70.0,37.0,12.0,14.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-12,,,,,0.0,0.0,70.0,35.0,13.0,16.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-13,,,,,0.0,0.0,69.0,32.0,14.0,27.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-14,,,,,0.14,1.5,71.0,34.0,26.0,30.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-15,,,,,2.88,25.0,80.0,34.0,28.0,28.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-16,,,,,0.65,5.0,81.0,31.0,21.0,,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-17,,,,,0.21,2.0,82.0,42.0,27.0,27.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-18,,,,,1.14,7.0,84.0,34.0,29.0,30.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-19,,,,,1.56,9.0,88.0,33.0,26.0,27.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-20,,,,,0.97,9.0,93.0,36.0,26.0,26.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-21,,,,,1.37,14.0,100.0,27.0,18.0,21.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-22,,,,,2.63,19.0,112.0,30.0,20.0,21.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-23,,,,,0.3,3.0,112.0,31.0,20.0,21.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-24,,,,,0.6,6.0,110.0,21.0,10.0,10.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-25,,,,,0.0,0.0,108.0,30.0,10.0,20.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-26,,,,,0.0,0.0,102.0,30.0,20.0,28.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-27,,,,,0.0,0.0,98.0,45.0,29.0,29.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-28,,,,,0.0,0.0,97.0,45.0,30.0,36.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-02-29,,,,,0.26,2.0,98.0,40.0,21.0,21.0,,1.0,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-01,,,,,0.33,3.0,97.0,28.0,15.0,17.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-02,,,,,0.0,0.0,96.0,39.0,15.0,29.0,,,,,,
"ALTA, UT US",40.5905,-111.6369,2660.9,1980-03-03,,,,,0.64,7.0,101.0,31.0,25.0,25.0,,,,,,
